nome;populacao;pais
Xangai;17836133;China
Lagos;16060307;Nigéria
Karachi;13969284;Paquistão
Istambul;13907015;Turquia
Mumbai;12478447;Índia
Moscou;12111194;Rússia
São Paulo;11821873;Brasil
Pequim;11716620;China
Cantão;11185600;China
Delhi;11007835;Índia
Shenzen;10467400;China
Seul;10388055;Coréia do Sul
Jacarta;9988329;Indonédia
Kinshasa;9735000;Congo
Tianjin;9341844;China
Tóquio;9071577;Japão
Chennai;8981087;Índia
Cairo;8922949;Egito
Dhaka;8906039;Bangladesh
Cidade do México;8874724;México
Bangalore;8425970;Índia
Nova York;8405837;Estados Unidos
Londres;8308369;Reino Unido
Bangkok;8280925;Tailândia
Dongguan;8220207;China
Teerã;8154051;Irã
Bogotá;7776845;Colômbia
Cidade de Ho Chi Minh;7681700;Vietnã
Hong Kong;7219700;China
Bagdá;7180889;Iraque
