sigla;nome;populacao;regiao;partido_governante
AC;Acre;829619;Norte;PT
AL;Alagoas;3375823;Nordeste;PMDB
AP;Amapá;797722;Norte;PDT
AM;Amazonas;4063614;Norte;PDT
BA;Bahia;15344447;Nordeste;PT
CE;Ceará;9020460;Nordeste;PSB
DF;Distrito Federal;3039444;Centro-oeste;PT
ES;Espírito Santo;4016356;Sudeste;PMDB
GO;Goiás;6778772;Centro-oeste;PSDB
MA;Maranhão;7000229;Nordeste;PCdoB
MT;Mato Grosso;3344544;Centro-oeste;PSDB
MS;Mato Grosso do Sul;2713147;Centro-oeste;PSDB
MG;Minas Gerais;21119536;Sudeste;PT
PA;Pará;8366628;Norte;PSDB
PB;Paraíba;4025558;Nordeste;PSB
PR;Paraná;11354892;Sul;PSDB
PE;Pernambuco;9473266;Nordeste;PSB
PI;Piauí;3219257;Nordeste;PT
RJ;Rio de Janeiro;16718956;Sudeste;PMDB
RN;Rio Grande do Norte;3507003;Nordeste;PSD
RS;Rio Grande do Sul;11341895;Sul;PMDB
RO;Rondônia;1805788;Norte;PMDB
RR;Roraima;522636;Norte;PP
SC;Santa Catarina;7001161;Sul;PSD
SP;São Paulo;45094866;Sudeste;PSDB
SE;Sergipe;2288116;Nordeste;PMDB
TO;Tocantins;1550194;Norte;PMDB
