id;nome;populacao;Id_pais
1;Xangai;17836133;2
2;Lagos;16060307;14
3;Karachi;13969284;15
4;Istambul;13907015;19
5;Mumbai;12478447;8
6;Moscou;12111194;17
7;São Paulo;11821873;1
8;Pequim;11716620;2
9;Cantão;11185600;2
10;Delhi;11007835;8
11;Shenzen;10467400;2
12;Seul;10388055;5
13;Jacarta;9988329;9
14;Kinshasa;9735000;4
15;Tianjin;9341844;2
16;Tóquio;9071577;12
17;Chennai;8981087;8
18;Cairo;8922949;6
19;Dhaka;8906039;21
20;Cidade do México;8874724;13
21;Bangalore;8425970;8
22;Nova York;8405837;7
23;Londres;8308369;16
24;Bangkok;8280925;18
25;Dongguan;8220207;2
26;Teerã;8154051;10
27;Bogotá;7776845;3
28;Cidade de Ho Chi Minh;7681700;20
29;Hong Kong;7219700;2
30;Bagdá;7180889;11
