nome;falantes_nativos;família;escrita
Bengali;270000000;Indo-europeia;Escrita bengali
Português;250000000;Indo-europeia;Alfabeto latino
Mandarim;885000000;Sino-tibetana;Alfabeto chinês
Espanhol;406000000;Indo-europeia;Alfabeto latino
Francês;115000000;Indo-europeia;Alfabeto latino
Coreano;78000000;Altaica;Alfabeto hangul
Árabe;206000000;Afro-asiática;Alfabeto árabe
Inglês;400000000;Indo-europeia;Alfabeto latino
Hindi;322000000;Indo-europeia;Alfabeto devanágari
Indonésio;200000000;Línguas austronésias;Alfabeto latino
Persa;110000000;Indo-europeia;Alfabeto persa
Curdo;39500000;Indo-europeia;Alfabeto árabe, Alfabeto latino, Alfabeto cirílico
Japonês;125000000;Altaica;Kanji, Hiragana, Katakana 
Urdu;61000000;Indo-europeia;Alfabeto urdu
Russo;164000000;Indo-europeia;Alfabeto cirílico
Tailandês;65000000;Tai-Kadai;Alfabeto Tai
Turco;70000000;Altaica;Alfabeto latino
Vietnamita;73000000;Austro-asiática;Alfabeto vietnamita
