nome_emendador,sequencial_candidato
Alberto Fraga,70000000676
Alceu Moreira,210000000162
Alessandro Molon,190000000614
Alfredo Kaefer,160000000152
André Figueiredo,60000000773
Antonio Bulhões,250000001259
Arnaldo Jordy,140000000934
Assis Melo,210000000873
Átila Lira,180000000061
Augusto Coutinho,170000000042
Aureo,190000000390
Benedita da Silva,190000000624
Benjamin Maranhão,150000000476
Carlos Melles,130000000691
Carlos Zarattini,250000000618
Carmen Zanotto,240000000475
Célio Silveira,90000000743
Celso Maldaner,240000000234
Chico Alencar,190000000414
Chico Lopes,60000000785
Christiane de Souza Yared,160000000761
Cleber Verde,100000000571
Covatti Filho,210000000638
Daniel Almeida,50000000135
Daniel Vilela,90000000615
Danilo Cabral,170000000031
Darcísio Perondi,210000000164
Diego Andrade,130000000716
Diego Garcia,160000001136
Domingos Sávio,130000000650
Eli Corrêa Filho,250000001388
Elizeu Dionizio,120000000051
Evair Vieira de Melo,80000000169
Evandro Roman,160000000187
Fernando Monteiro,170000000069
Glauber Braga,190000000663
Gorete Pereira,60000000586
Goulart,250000002182
Heitor Schuch,210000000575
Herculano Passos,250000002189
Hissa Abrahão,40000000086
Jerônimo Goergen,210000000636
João Carlos Bacelar,50000000159
João Gualberto,50000000642
Jô Moraes,130000000882
José Carlos Aleluia,50000000630
José Guimarães,60000000793
Julio Lopes,190000001447
Laercio Oliveira,260000000091
Laura Carneiro,190000001463
Lázaro Botelho,270000000290
Luiza Erundina,250000001476
Magda Mofatto,90000000712
Major Olimpio,250000002018
Marco Maia,210000000333
Marcos Soares,190000001895
Marinaldo Rosendo,170000000038
Mauro Lopes,130000000884
Mauro Pereira,210000000113
Nelson Marquezelli,250000002343
Nelson Padovani,160000000171
Orlando Silva,250000000672
Padre João,130000000871
Paes Landim,180000000242
Patrus Ananias,130000000890
Paulo Abi-Ackel,130000000662
Paulo Pereira da Silva,250000000839
Paulo Teixeira,250000000643
Professora Dorinha Seabra Rezende,270000000287
Raquel Muniz,130000001329
Renata Abreu,250000000145
Renzo Braz,130000000727
Ricardo Izar,250000002201
Roberto Sales,190000003013
Rogério Marinho,200000000138
Rômulo Gouveia,150000000497
Ronaldo Carletto,50000000169
Rosangela Gomes,190000001411
Sergio Vidigal,80000000387
Tereza Cristina,120000000115
Toninho Wandscheer,160000000759
Valdir Colatto,240000000241
Vanderlei Macris,250000001318
Vitor Lippi,250000001354
Wadih Damous,190000000617
Waldenor Pereira,50000000150
Wellington Roberto,150000000492
Weverton Rocha,100000000262
Zé Silva,130000000680
Marcos Montes,130000000669
Izalci Lucas,70000001075
Bebeto,50000000202
Evandro Gussi,250000000926
