"RS";"210000000162";"ALCEU MOREIRA";"PMDB"
"RJ";"190000000614";"ALESSANDRO MOLON";"PT"
"PR";"160000000152";"ALFREDO KAEFER";"PSDB"
"CE";"60000000773";"ANDRÉ FIGUEIREDO";"PDT"
"SP";"250000001259";"ANTONIO BULHÕES";"PRB"
"RS";"210000000873";"ASSIS MELO";"PC do B"
"PE";"170000000042";"AUGUSTO COUTINHO";"SD"
"RJ";"190000000390";"AUREO";"SD"
"SP";"250000002048";"AUREO PRETO";"PDT"
"RJ";"190000000624";"BENEDITA DA SILVA";"PT"
"PB";"150000000476";"BENJAMIN MARANHÃO";"SD"
"MG";"130000000691";"CARLOS MELLES";"DEM"
"SC";"240000000475";"CARMEN ZANOTTO";"PPS"
"GO";"90000000743";"CÉLIO SILVEIRA";"PSDB"
"SC";"240000000234";"CELSO MALDANER";"PMDB"
"RJ";"190000000414";"CHICO ALENCAR";"PSOL"
"CE";"60000000785";"CHICO LOPES";"PC do B"
"DF";"70000001161";"CHICO LOPES";"PT"
"MA";"100000000571";"CLEBER VERDE";"PRB"
"RS";"210000000638";"COVATTI FILHO";"PP"
"BA";"50000000135";"DANIEL ALMEIDA";"PC do B"
"GO";"90000000615";"DANIEL VILELA";"PMDB"
"PE";"170000000031";"DANILO CABRAL";"PSB"
"MG";"130000000716";"DIEGO ANDRADE";"PSD"
"PR";"160000001136";"DIEGO GARCIA";"PHS"
"CE";"60000000479";"DOMINGOS SÁVIO";"PMN"
"MG";"130000000650";"DOMINGOS SÁVIO";"PSDB"
"SP";"250000001388";"ELI CORRÊA FILHO";"DEM"
"MS";"120000000051";"ELIZEU DIONIZIO";"SD"
"PR";"160000000187";"EVANDRO ROMAN";"PSD"
"PE";"170000000069";"FERNANDO MONTEIRO";"PP"
"PI";"180000000247";"FERNANDO MONTEIRO";"PTB"
"CE";"60000000586";"GORETE PEREIRA";"PR"
"AL";"20000000026";"CORONEL GOULART";"PEN"
"MG";"130000000458";"NANCY GOULART";"PTN"
"RJ";"190000002091";"JOÃO GOULART";"PTB"
"RJ";"190000001642";"MAX GOULART";"PC do B"
"RS";"210000000284";"CHRISTOPHER GOULART";"PDT"
"RS";"210000000278";"RICARDO GOULART";"PDT"
"RS";"210000000946";"ANDRÉIA GOULART";"PV"
"RS";"210000000225";"AILTON GOULARTE";"PDT"
"SC";"240000000591";"DEGLABER GOULART";"PMDB"
"SC";"240000000704";"LEANDRO GOULART";"PPS"
"SP";"250000000598";"VERA GOULART";"PT"
"SP";"250000002182";"GOULART";"PSD"
"RS";"210000000575";"HEITOR SCHUCH";"PSB"
"SP";"250000002189";"HERCULANO PASSOS";"PSD"
"AM";"40000000086";"HISSA ABRAHÃO";"PPS"
"RS";"210000000636";"JERÔNIMO GOERGEN";"PP"
"BA";"50000000642";"JOÃO GUALBERTO";"PSDB"
"MG";"130000000882";"JÔ MORAES";"PC do B"
"CE";"60000000793";"JOSÉ GUIMARÃES";"PT"
"RJ";"190000001463";"LAURA CARNEIRO";"PTB"
"TO";"270000000290";"LÁZARO BOTELHO";"PP"
"SP";"250000001476";"LUIZA ERUNDINA";"PSB"
"GO";"90000000712";"MAGDA MOFATTO";"PR"
"SP";"250000002018";"MAJOR OLIMPIO GOMES";"PDT"
"RS";"210000000333";"MARCO MAIA";"PT"
"RJ";"190000001895";"MARCOS SOARES";"PR"
"SP";"250000000645";"MARCOS SOARES";"PT"
"PE";"170000000038";"MARINALDO ROSENDO";"PSB"
"DF";"70000001082";"MAURO LOPES";"PSDB"
"MG";"130000000884";"MAURO LOPES";"PMDB"
"RS";"210000000113";"MAURO PEREIRA";"PMDB"
"SP";"250000002343";"NELSON MARQUEZELLI";"PTB"
"PR";"160000000171";"NELSON PADOVANI";"PSC"
"SP";"250000000672";"ORLANDO SILVA";"PC do B"
"MG";"130000000871";"PADRE JOÃO";"PT"
"PI";"180000000115";"RICARDO PAES LANDIM";"PSD"
"PI";"180000000242";"PAES LANDIM";"PTB"
"PI";"180000000258";"LUCIANO PAES LANDIM";"PT"
"MG";"130000000890";"PATRUS ANANIAS";"PT"
"MG";"130000000662";"PAULO ABI-ACKEL";"PSDB"
"CE";"60000000802";"PAULO TEIXEIRA";"PRB"
"RJ";"190000001997";"PAULO TEIXEIRA";"PHS"
"SP";"250000000643";"PAULO TEIXEIRA";"PT"
"MG";"130000001329";"RAQUEL MUNIZ";"PSC"
"SP";"250000000145";"RENATA ABREU";"PTN"
"MG";"130000000727";"RENZO BRAZ";"PP"
"SP";"250000002201";"RICARDO IZAR";"PSD"
"PA";"140000000737";"ROBERTO SALES";"PSL"
"RJ";"190000003013";"ROBERTO SALES";"PRB"
"PB";"150000000497";"RÔMULO GOUVEIA";"PSD"
"BA";"50000000169";"RONALDO CARLETTO";"PP"
"RJ";"190000001411";"ROSANGELA GOMES";"PRB"
"ES";"80000000387";"SERGIO VIDIGAL";"PDT"
"MS";"120000000115";"TEREZA CRISTINA";"PSB"
"PB";"150000000146";"TEREZA CRISTINA";"PT do B"
"PR";"160000000759";"TONINHO WANDSCHEER";"PT"
"SC";"240000000241";"VALDIR COLATTO";"PMDB"
"SP";"250000001318";"VANDERLEI MACRIS";"PSDB"
"SP";"250000001354";"VITOR LIPPI";"PSDB"
"RJ";"190000000617";"WADIH DAMOUS";"PT"
"BA";"50000000150";"WALDENOR PEREIRA";"PT"
"PB";"150000000492";"WELLINGTON ROBERTO";"PR"
"MA";"100000000262";"WEVERTON ROCHA";"PDT"
"MG";"130000000680";"ZÉ SILVA";"SD"
